Tópico,Pregunta,Total Puntos,Total Puntos a Considerar,Punto 1,Puntuación 1,Punto 2,Puntuación 2,Punto 3,Puntuación 3,ID,Scoring Guideline
Uso TDAs,¿Que TDA(s) usaría para permitir deshacer acciones en un juego de ajedrez? Explique como lo(s) usaría.,2.0,2,Pila para poder deshacer última acción,1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,,0.0,fdd0a1bf430eececa04c67c613553fd4c836f1efa6f9d37500da3a96b61e0ca9,"Punto 1: Pila para poder deshacer última acción (Puntuación: 1.0), Punto 2: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
Uso TDAs,¿Qué TDA(s) usaría para modelar las relaciones de una red social? Explique cómo lo(s) usaría.,2.0,2,Grafo explicitando a qué corresponden los nodos y los arcos,1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,,0.0,24fe9fac2587bef10da2cb8722dfef792b72bdaa84c1586e51e69b6d6f7049f0,"Punto 1: Grafo explicitando a qué corresponden los nodos y los arcos (Puntuación: 1.0), Punto 2: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
Uso TDAs,¿Qué TDA(s) usaría para gestionar la prioridad de procesos en un sistema operativo? Explique cómo lo(s) usaría.,2.0,2,Cola con prioridad ,1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,,0.0,1a7762d3234d31b1e96b15fdbce4b6e3c4f81957956394d0903c6e4a4aee06e1,"Punto 1: Cola con prioridad  (Puntuación: 1.0), Punto 2: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
Uso TDAs,¿Qué TDA(s) usaría para almacenar y recuperar información de una página web? Explique cómo lo(s) usaría.,2.0,2,"Utiliza un TDA adecuado, (por ejemplo una lista dependiendo de la información que se necesite almacenar)",1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,,0.0,85b02d6f326e7606d2742fe289c240b64c00f475bf73933f5f9315979e74a4d9,"Punto 1: Utiliza un TDA adecuado, (por ejemplo una lista dependiendo de la información que se necesite almacenar) (Puntuación: 1.0), Punto 2: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
Uso TDAs,¿Qué TDA(s) usaría para representar el laberinto en un juego? Explique cómo lo(s) usaría.,3.0,3,Grafo explicitando a qué corresponden los nodos y los arcos,1.0,Matriz con distintos valores para representar pasillos o paredes,1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,d9247b2ee1110f4628d92cc667669083e7c0c72bab7fc2c95ccc5d5fa608e8b4,"Punto 1: Grafo explicitando a qué corresponden los nodos y los arcos (Puntuación: 1.0), Punto 2: Matriz con distintos valores para representar pasillos o paredes (Puntuación: 1.0), Punto 3: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
Uso TDAs,¿Qué TDA(s) usaría para construir un sistema de gestión de inventario en un supermercado? Explique cómo lo(s) usaría.,2.0,2,"Mapa de productos, con clave nombre o id de productos",1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,,0.0,95c338c15b9b66a09e44cbb4e73a915cf5ac3fe519bcb26b490be13045b3ccd4,"Punto 1: Mapa de productos, con clave nombre o id de productos (Puntuación: 1.0), Punto 2: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
Uso TDAs,¿Qué TDA(s) usaría para realizar operaciones de búsqueda y clasificación en una base de datos de libros? Explique cómo lo(s) usaría.,2.0,2,"Mapas para organizar por distintos criterios (temática, título, autor, etc.)",1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,,0.0,7c3edcc9d0a4500d83781b722683dd3bb450cb5f3e763b09a4f06357caf24965,"Punto 1: Mapas para organizar por distintos criterios (temática, título, autor, etc.) (Puntuación: 1.0), Punto 2: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
Uso TDAs,¿Qué TDA(s) usaría para programar la ruta más corta en una aplicación de navegación GPS? Explique cómo lo(s) usaría.,2.0,2,Grafo explicitando a qué corresponden los nodos y los arcos,1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,,0.0,fb1016134fc0a8a9523de70f97f12662ffd2d0c36733970d90441f542f87a186,"Punto 1: Grafo explicitando a qué corresponden los nodos y los arcos (Puntuación: 1.0), Punto 2: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
Uso TDAs,¿Qué TDA(s) usaría para mantener el seguimiento de las tareas pendientes en un software de gestión de proyectos? Explique cómo lo(s) usaría.,2.0,2,Mapa o lista de tareas pendientes,1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,,0.0,7f8ee62de6d70a52e7bed692bf7575b88151e9cc2847ef4c919e6ed37d34c8ad,"Punto 1: Mapa o lista de tareas pendientes (Puntuación: 1.0), Punto 2: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
Uso TDAs,¿Qué TDA(s) usaría para simular la propagación de un virus en una población? Explique cómo lo(s) usaría.,2.0,2,Usa TDAs adecuados (por ejemplo mapa de personas con lista de personas con contacto estrecho).,1.0,Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta,1.0,,0.0,e23cffba75733b87b13db5d3fd80ec5895437172fd85950bcd910354353d6f27,"Punto 1: Usa TDAs adecuados (por ejemplo mapa de personas con lista de personas con contacto estrecho). (Puntuación: 1.0), Punto 2: Explicación clara y concisa de como utilizar el TDA en el contexto de la pregunta (Puntuación: 1.0)"
